,Dependents,tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,TotalCharges
0,0,1,0,2,0,0,0,1,29.85,29.85
1,0,34,2,0,2,0,1,0,56.95,1889.5
2,0,2,2,2,0,0,0,1,53.85,108.15
3,0,45,2,0,2,2,1,0,42.3,1840.75
4,0,2,0,0,0,0,0,1,70.7,151.65
5,0,8,0,0,2,0,0,1,99.65,820.5
6,1,22,0,2,0,0,0,1,89.1,1949.4
7,0,10,2,0,0,0,0,0,29.75,301.9
8,0,28,0,0,2,2,0,1,104.8,3046.05
9,1,62,2,2,0,0,1,0,56.15,3487.95
10,1,13,2,0,0,0,0,1,49.95,587.45
11,0,16,1,1,1,1,2,0,18.95,326.8
12,0,58,0,0,2,0,1,0,100.35,5681.1
13,0,49,0,2,2,0,0,1,103.7,5036.3
14,0,25,2,0,2,2,0,1,105.5,2686.05
15,1,69,2,2,2,2,2,0,113.25,7895.15
16,0,52,1,1,1,1,1,0,20.65,1022.95
17,1,71,2,0,2,0,2,0,106.7,7382.25
18,1,10,0,0,2,2,0,0,55.2,528.35
19,0,21,0,2,2,0,0,1,90.05,1862.9
20,0,1,0,0,2,0,0,1,39.65,39.65
21,0,12,1,1,1,1,1,0,19.8,202.25
22,0,1,1,1,1,1,0,0,20.15,20.15
23,0,58,0,2,0,2,2,1,59.9,3505.1
24,1,49,2,2,0,2,0,0,59.6,2970.3
25,0,30,2,2,0,0,0,1,55.3,1530.6
26,1,47,0,2,0,0,0,1,99.35,4749.15
27,1,1,0,2,0,0,0,0,30.2,30.2
28,0,72,2,2,2,2,2,1,90.25,6369.45
29,1,17,0,0,0,0,0,1,64.7,1093.1
30,0,71,2,2,2,2,2,1,96.35,6766.95
31,0,2,0,0,2,0,0,1,95.5,181.65
32,1,27,2,2,2,2,1,0,66.15,1874.45
33,0,1,1,1,1,1,0,0,20.2,20.2
34,0,1,0,0,0,0,0,0,45.25,45.25
35,1,72,2,2,0,2,2,0,99.9,7251.7
36,0,5,0,0,0,0,0,1,69.7,316.9
37,0,46,0,0,2,0,0,1,74.8,3548.3
38,0,34,0,2,2,0,0,1,106.35,3549.25
39,0,11,0,0,2,0,0,1,97.85,1105.4
40,1,10,0,2,0,0,1,0,49.55,475.7
41,1,70,2,2,0,0,2,1,69.2,4872.35
42,1,17,1,1,1,1,1,0,20.75,418.25
43,0,63,2,2,2,2,2,1,79.85,4861.45
44,0,13,2,2,0,2,0,1,76.2,981.45
45,0,49,0,0,0,0,0,1,84.5,3906.7
46,0,2,0,2,0,0,0,0,49.25,97.0
47,0,2,0,0,0,0,0,1,80.65,144.15
48,0,52,2,0,0,2,2,1,79.75,4217.8
49,1,69,2,0,2,2,2,1,64.15,4254.1
50,0,43,0,2,0,0,0,1,90.25,3838.75
51,0,15,2,2,0,0,0,1,99.1,1426.4
52,0,25,2,0,0,2,0,1,69.5,1752.65
53,0,8,0,2,0,0,0,1,80.65,633.3
54,1,60,2,2,2,2,1,1,74.85,4456.35
55,0,18,0,0,0,0,0,1,95.45,1752.55
56,1,63,2,0,0,0,1,1,99.65,6311.2
57,1,66,0,2,2,2,1,1,108.45,7076.35
58,1,34,1,1,1,1,2,0,24.95,894.3
59,0,72,0,0,2,2,2,1,107.5,7853.7
60,0,47,0,0,2,0,0,1,100.5,4707.1
61,0,60,0,2,0,0,0,1,89.9,5450.7
62,0,72,2,2,2,0,2,0,42.1,2962.0
63,1,18,0,0,2,2,1,1,54.4,957.1
64,0,9,0,0,0,0,0,0,94.4,857.25
65,0,3,0,2,0,2,0,1,75.3,244.1
66,0,47,0,2,0,0,1,1,78.9,3650.35
67,0,31,0,2,2,2,2,0,79.2,2497.2
68,1,50,1,1,1,1,2,0,20.15,930.9
69,0,10,2,0,2,0,0,1,79.85,887.35
70,0,1,0,0,0,2,0,0,49.05,49.05
71,1,52,1,1,1,1,1,1,20.4,1090.65
72,1,64,2,0,2,2,2,1,111.6,7099.0
73,1,62,1,1,1,1,2,1,24.25,1424.6
74,1,3,2,0,0,2,0,1,64.5,177.4
75,0,56,2,2,2,0,1,0,110.5,6139.5
76,0,46,0,0,0,0,1,0,55.65,2688.85
77,1,8,2,2,0,0,0,0,54.65,482.25
78,0,30,2,2,0,0,0,1,74.75,2111.3
79,1,45,1,1,1,1,1,1,25.9,1216.6
80,1,1,0,0,0,0,0,1,79.35,79.35
81,1,11,2,0,0,0,0,0,50.55,565.35
82,0,7,0,0,2,0,0,1,75.15,496.9
83,0,42,0,2,2,2,0,1,103.8,4327.5
84,0,49,1,1,1,1,2,1,20.15,973.35
85,0,9,0,2,0,0,0,1,99.3,918.75
86,0,35,2,0,0,0,1,1,62.15,2215.45
87,1,48,1,1,1,1,2,0,20.65,1057.0
88,1,46,1,1,1,1,2,1,19.95,927.1
89,0,29,0,0,0,0,0,0,33.75,1009.25
90,1,30,0,2,2,0,0,0,82.05,2570.2
91,0,1,0,0,0,2,0,0,74.7,74.7
92,1,66,2,0,2,2,2,1,84.0,5714.25
93,0,65,2,2,2,0,0,1,111.05,7107.0
94,0,72,0,2,2,0,2,1,100.9,7459.05
95,0,12,2,0,0,0,0,1,78.95,927.35
96,1,71,2,2,0,2,1,1,66.85,4748.7
97,0,5,1,1,1,1,0,0,21.05,113.85
98,0,52,1,1,1,1,2,0,21.0,1107.2
99,0,25,0,2,2,0,0,1,98.5,2514.5
100,0,1,1,1,1,1,0,0,20.2,20.2
101,1,1,1,1,1,1,0,0,19.45,19.45
102,0,38,0,0,2,2,1,0,95.0,3605.6
103,0,66,0,2,2,0,1,0,45.55,3027.25
104,0,68,0,2,2,2,2,1,110.0,7611.85
105,0,5,0,0,0,0,0,0,24.3,100.2
106,1,72,2,2,0,0,1,1,104.15,7303.05
107,0,32,2,0,0,0,1,0,30.15,927.65
108,0,43,0,0,0,0,1,0,94.35,3921.3
109,1,72,1,1,1,1,2,0,19.4,1363.25
110,0,55,2,2,0,0,0,1,96.75,5238.9
111,0,52,2,0,2,2,1,0,57.95,3042.25
112,0,43,0,2,2,0,0,1,91.65,3954.1
113,0,37,0,0,0,0,0,1,76.5,2868.15
114,1,64,0,2,0,2,2,1,54.6,3423.5
115,1,3,2,2,0,0,0,0,89.85,248.4
116,0,36,2,0,0,0,2,0,31.05,1126.35
117,1,10,2,0,0,0,0,1,100.25,1064.65
118,0,41,1,1,1,1,2,0,20.65,835.15
119,1,27,0,2,0,2,0,1,85.2,2151.6
120,1,56,0,0,2,0,1,1,99.8,5515.45
121,0,6,1,1,1,1,0,0,20.7,112.75
122,0,3,0,0,0,0,0,1,74.4,229.55
123,1,7,2,0,0,0,0,0,50.7,350.35
124,1,4,1,1,1,1,0,0,20.85,62.9
125,0,33,2,0,0,2,2,1,88.95,3027.65
126,0,27,0,0,2,0,0,1,78.05,2135.5
127,0,72,1,1,1,1,2,1,23.55,1723.95
128,0,1,1,1,1,1,0,0,19.75,19.75
129,0,71,2,2,0,0,1,1,56.45,3985.35
130,0,13,0,0,0,0,0,1,85.95,1215.65
131,1,25,2,2,2,0,0,1,58.6,1502.65
132,0,67,0,0,0,2,2,0,50.55,3260.1
133,0,1,0,0,0,0,0,1,35.45,35.45
134,0,2,0,0,0,0,0,0,44.35,81.25
135,0,43,1,1,1,1,2,1,25.7,1188.2
136,0,23,2,0,0,0,0,1,75.0,1778.5
137,1,64,1,1,1,1,2,0,20.2,1277.75
138,1,57,1,1,1,1,2,1,19.6,1170.55
139,0,1,0,0,0,0,0,1,70.45,70.45
140,1,72,2,2,2,2,2,1,88.05,6425.65
141,0,8,2,0,0,2,0,0,71.15,563.65
142,0,61,0,2,0,0,2,1,101.05,5971.25
143,0,64,2,2,0,0,1,1,84.3,5289.05
144,0,71,1,1,1,1,2,0,23.95,1756.2
145,1,65,2,2,0,2,2,1,99.05,6416.7
146,0,3,1,1,1,1,1,0,19.6,61.35
147,0,1,0,0,0,0,0,1,45.65,45.65
148,1,30,0,2,2,0,1,0,64.5,1929.95
149,1,15,0,2,2,2,0,1,69.5,1071.4
150,1,8,0,0,0,2,0,1,68.55,564.35
151,0,7,0,0,0,0,0,0,95.0,655.5
152,1,70,2,2,2,0,1,1,108.15,7930.55
153,1,62,2,2,2,2,2,0,86.1,5215.25
154,1,6,1,1,1,1,0,0,19.7,113.5
155,1,14,0,0,0,0,0,1,80.9,1152.8
156,0,22,0,0,0,0,0,1,84.15,1821.95
157,1,22,1,1,1,1,1,0,20.15,419.9
158,1,16,2,0,2,0,2,0,64.25,1024.0
159,0,10,1,1,1,1,2,0,25.7,251.6
160,1,13,2,2,0,0,0,1,56.0,764.55
161,0,20,2,0,0,0,0,0,82.4,1592.35
162,0,2,0,0,0,0,0,1,69.7,135.2
163,0,53,0,2,2,2,2,1,73.9,3958.25
164,1,11,1,1,1,1,1,0,20.6,233.9
165,0,69,1,1,1,1,2,0,19.9,1363.45
166,0,4,0,0,0,0,0,1,70.9,273.0
167,0,72,2,2,2,2,2,1,89.05,6254.45
168,0,58,0,2,2,0,0,1,45.3,2651.2
169,1,16,1,1,1,1,0,0,20.4,321.4
170,0,43,2,0,2,2,1,1,84.25,3539.25
171,0,2,0,0,2,2,0,1,104.4,242.8
172,0,14,0,2,2,2,2,0,81.95,1181.75
173,0,53,0,0,2,0,1,1,94.85,5000.2
174,0,32,1,1,1,1,1,0,20.55,654.55
175,0,34,1,1,1,1,0,0,24.7,780.2
176,0,15,0,0,0,0,0,1,74.45,1145.7
177,0,7,2,0,0,0,0,0,76.45,503.6
178,1,15,0,2,2,0,0,1,105.35,1559.25
179,0,61,1,1,1,1,1,1,20.55,1252.0
180,0,1,0,2,0,0,0,0,29.95,29.95
181,0,1,0,0,0,0,0,0,45.3,45.3
182,0,8,0,0,0,0,0,0,84.5,662.65
183,1,33,2,0,2,0,1,0,74.75,2453.3
184,0,13,0,2,2,0,0,1,79.25,1111.65
185,0,1,0,0,0,0,0,1,24.8,24.8
186,0,20,0,2,0,0,0,1,51.8,1023.85
187,0,3,0,0,0,2,0,0,30.4,82.15
188,0,13,1,1,1,1,1,0,19.65,244.8
189,0,40,0,2,0,0,0,0,56.6,2379.1
190,1,43,2,0,0,2,1,1,71.9,3173.35
191,0,6,0,2,2,0,0,1,91.0,531.0
192,1,69,1,1,1,1,2,0,19.75,1375.4
193,1,72,2,2,2,0,2,0,109.7,8129.3
194,1,59,1,1,1,1,2,0,19.3,1192.7
195,0,20,2,2,0,2,0,1,96.55,1901.65
196,1,24,1,1,1,1,2,1,24.1,587.4
197,0,59,0,2,2,2,0,1,111.35,6519.75
198,1,72,0,2,2,2,2,1,112.25,8041.65
199,1,1,1,1,1,1,0,0,20.75,20.75
200,0,27,2,0,0,2,1,1,101.9,2681.15
201,0,14,0,2,0,2,0,1,80.05,1112.3
202,1,71,2,0,2,0,2,0,105.55,7405.5
203,1,13,0,0,0,0,0,1,78.3,1033.95
204,0,44,0,0,0,0,0,0,68.85,2958.95
205,0,33,0,2,0,2,1,1,79.95,2684.85
206,1,72,2,2,2,2,2,1,55.45,4179.2
207,0,1,0,0,0,0,0,0,79.9,79.9
208,0,19,2,0,2,2,0,1,106.6,1934.45
209,0,64,0,2,2,2,1,1,102.45,6654.1
210,0,2,0,0,0,0,0,1,46.0,84.5
211,0,1,0,0,0,0,0,0,25.25,25.25
212,1,61,1,1,1,1,2,0,19.75,1124.2
213,1,29,1,1,1,1,1,0,20.0,540.05
214,0,23,0,0,0,0,0,0,86.8,1975.85
215,0,57,2,2,2,0,0,1,58.75,3437.45
216,1,72,2,2,2,2,2,0,45.25,3139.8
217,0,66,2,2,2,2,2,1,56.6,3789.2
218,1,65,0,2,2,2,2,1,84.2,5324.5
219,0,8,0,0,0,0,0,1,80.0,624.6
220,0,4,0,0,0,0,0,1,70.15,268.35
221,0,71,1,1,1,1,2,0,24.75,1836.9
222,1,1,1,1,1,1,1,1,20.2,20.2
223,0,4,0,0,0,2,0,0,50.05,179.35
224,0,12,1,1,1,1,1,1,19.35,219.35
225,0,24,2,0,0,0,1,1,50.6,1288.75
226,1,31,2,0,2,2,1,1,81.15,2545.75
227,0,1,0,0,0,0,0,0,55.2,55.2
228,0,30,0,0,0,2,0,1,89.9,2723.15
229,1,47,2,2,0,2,2,1,85.3,4107.25
230,0,54,2,2,0,2,2,1,108.0,5760.65
231,0,50,2,2,0,2,0,1,93.5,4747.5
232,0,1,2,0,0,0,0,1,84.6,84.6
233,0,72,1,1,1,1,2,0,20.25,1566.9
234,0,29,1,1,1,1,0,0,25.15,702.0
235,0,2,0,2,0,0,0,1,54.4,114.1
236,0,10,0,0,0,2,2,1,29.6,299.05
237,0,18,0,0,0,0,0,1,73.15,1305.95
238,0,11,0,2,0,0,0,1,95.0,1120.3
239,0,16,1,1,1,1,2,0,19.75,284.35
240,0,72,0,2,2,2,2,0,86.6,6350.5
241,0,72,0,2,2,2,2,0,109.2,7878.3
242,1,41,2,0,0,2,1,1,74.7,3187.65
243,0,65,2,2,2,0,0,0,94.4,6126.15
244,0,13,0,2,2,0,0,1,54.8,731.3
245,0,4,2,0,0,0,0,0,75.35,273.4
246,0,41,0,0,2,0,1,0,65.0,2531.8
247,0,15,0,2,0,0,0,1,74.4,1074.3
248,0,1,2,0,0,0,0,1,48.55,48.55
249,0,42,2,2,2,0,1,1,99.0,4298.45
250,0,51,2,2,2,0,1,1,93.5,4619.55
251,1,2,0,0,0,0,0,0,70.4,147.15
252,0,1,0,2,0,0,0,0,40.2,40.2
253,1,32,0,2,2,2,1,0,83.7,2633.3
254,0,10,1,1,1,1,0,1,19.85,193.05
255,1,67,0,2,2,2,2,1,59.55,4103.9
256,1,61,2,2,2,2,2,0,115.1,7008.15
257,0,50,2,2,2,2,1,0,114.35,5791.1
258,0,2,0,0,0,0,0,1,44.6,80.55
259,0,29,2,0,2,0,0,1,45.0,1228.65
260,0,3,0,0,2,0,0,1,41.15,132.2
261,0,13,0,2,2,0,0,1,106.9,1364.3
262,0,57,0,2,0,0,0,1,89.85,4925.35
263,0,31,2,2,0,2,2,1,49.85,1520.1
264,0,45,2,2,2,2,1,0,113.3,5032.25
265,1,61,2,2,2,2,2,0,88.1,5526.75
266,0,50,1,1,1,1,2,0,24.9,1195.25
267,0,19,2,2,0,2,0,1,105.0,2007.25
268,0,59,1,1,1,1,2,0,19.35,1099.6
269,0,71,1,1,1,1,2,1,24.25,1732.95
270,0,16,0,0,0,2,0,1,94.45,1511.2
271,0,57,2,2,0,2,2,1,59.75,3450.15
272,0,1,0,0,0,0,0,0,24.8,24.8
273,0,20,0,2,0,2,0,0,107.05,2172.05
274,0,1,0,0,0,0,0,0,70.6,70.6
275,0,5,0,2,0,2,0,1,85.4,401.1
276,0,52,0,2,2,0,0,1,105.05,5624.85
277,0,21,2,2,0,0,0,1,64.95,1339.8
278,0,14,0,0,2,2,0,1,55.0,771.95
279,0,5,0,2,0,0,0,0,50.55,244.75
280,0,6,2,2,0,0,0,0,55.15,322.9
281,0,10,0,2,0,0,0,0,51.2,498.25
282,1,1,1,1,1,1,0,0,25.4,25.4
283,0,68,2,0,0,0,0,0,54.45,3687.75
284,1,18,0,0,2,0,0,0,95.15,1779.95
285,0,22,0,0,0,0,1,1,76.0,1783.6
286,0,20,0,0,0,0,0,1,44.35,927.15
287,0,1,0,0,0,0,0,0,70.0,70.0
288,0,8,0,2,0,0,0,1,74.5,606.55
289,0,10,0,0,0,0,0,1,44.85,435.4
290,0,24,0,0,0,0,0,1,76.1,1712.7
291,0,35,2,2,2,0,1,0,61.2,2021.2
292,1,23,0,2,2,2,1,0,86.8,1940.8
293,0,6,0,0,0,0,0,1,89.35,567.8
294,0,12,1,1,1,1,0,0,19.7,220.35
295,0,1,1,1,1,1,0,0,20.25,20.25
296,1,71,0,0,2,0,2,0,76.05,5436.45
297,0,35,0,0,2,0,0,1,100.8,3437.5
298,1,40,0,0,2,0,0,1,74.55,3015.75
299,1,1,2,0,0,0,0,1,73.6,73.6
300,0,23,0,0,0,0,1,1,64.9,1509.8
301,0,4,0,0,0,0,0,1,95.45,396.1
302,0,4,0,0,2,2,0,1,90.4,356.65
303,1,68,0,2,2,2,2,0,60.3,4109.0
304,1,38,0,2,0,0,0,1,81.85,3141.7
305,1,52,1,1,1,1,2,0,24.8,1229.1
306,0,32,0,0,0,0,0,1,74.9,2303.35
307,1,29,0,0,2,2,2,0,75.55,2054.4
308,1,38,0,2,0,0,0,0,101.15,3741.85
309,1,48,2,0,2,0,1,1,78.75,3682.45
310,0,1,1,1,1,1,0,1,19.25,19.25
311,0,22,2,0,0,2,0,1,89.05,1886.25
312,0,43,2,2,2,2,2,0,115.05,4895.1
313,0,5,0,0,0,0,0,1,69.35,341.6
314,0,5,0,0,0,0,0,1,80.6,415.55
315,1,51,2,2,0,2,1,0,110.05,5686.4
316,0,71,1,1,1,1,2,1,19.9,1355.1
317,1,38,2,2,0,2,1,0,80.3,3058.65
318,0,24,0,0,2,0,0,1,93.15,2231.05
319,0,35,0,0,0,2,0,1,91.5,3236.35
320,0,54,2,2,0,2,1,0,82.45,4350.1
321,1,72,0,2,2,2,2,1,60.0,4264.0
322,0,1,0,0,0,0,0,1,44.8,44.8
323,1,9,2,0,0,0,1,0,48.6,422.3
324,0,69,2,2,0,2,2,1,60.05,4176.7
325,0,52,0,2,0,2,0,1,102.7,5138.1
326,0,11,0,0,0,2,0,1,82.9,880.05
327,0,2,0,0,0,0,0,1,70.35,139.05
328,1,28,0,0,0,0,0,1,35.9,973.65
329,0,17,0,0,2,0,0,1,82.65,1470.05
330,1,35,1,1,1,1,2,1,19.85,739.35
331,0,8,1,1,1,1,1,1,19.2,161.95
332,0,46,0,2,2,0,1,1,94.9,4422.95
333,0,7,0,0,0,0,0,1,73.85,511.25
334,0,2,0,0,2,0,0,0,80.6,155.8
335,1,68,0,2,2,2,1,1,75.8,5293.95
336,0,43,0,2,2,0,2,1,104.6,4759.85
337,0,68,2,2,2,2,2,1,88.15,6148.45
338,0,36,0,2,0,0,0,1,94.8,3565.65
339,0,63,0,2,2,0,0,1,103.4,6603.0
340,0,32,0,2,0,2,0,0,54.65,1830.1
341,0,71,2,2,2,2,2,0,85.75,6223.8
342,1,66,2,2,2,0,0,1,67.45,4508.65
343,0,63,1,1,1,1,1,0,20.5,1328.15
344,1,41,1,1,1,1,1,1,20.25,865.0
345,0,1,0,0,0,0,0,1,72.1,72.1
346,0,2,0,0,0,0,0,1,90.4,168.2
347,0,70,1,1,1,1,2,0,19.45,1303.5
348,0,23,0,0,0,0,0,1,44.95,996.85
349,0,64,2,2,2,0,1,0,97.0,6430.9
350,1,37,2,0,2,2,2,1,62.8,2278.75
351,1,17,0,0,0,0,1,0,44.6,681.4
352,0,7,0,0,0,0,0,1,89.15,574.35
353,1,4,0,2,2,0,0,1,84.8,371.9
354,0,21,2,0,0,0,0,1,41.9,840.1
355,0,10,0,0,0,0,0,1,80.25,846.0
356,0,16,2,0,0,0,0,1,54.1,889.0
357,0,64,0,2,0,2,2,1,105.25,6823.4
358,0,27,2,0,0,0,0,0,30.75,805.1
359,1,42,2,0,0,0,1,0,97.1,4016.75
360,1,5,1,1,1,1,0,0,20.2,83.75
361,0,41,0,2,0,2,2,1,98.8,3959.15
362,0,58,0,0,2,0,1,0,50.3,2878.55
363,0,47,1,1,1,1,2,1,20.55,945.7
364,0,18,0,0,0,2,0,1,75.9,1373.05
365,0,5,0,0,2,0,0,0,96.5,492.55
366,0,23,2,0,0,0,0,1,59.95,1406.0
367,0,1,1,1,1,1,0,0,19.15,19.15
368,0,71,0,0,2,0,1,1,98.65,6962.85
369,1,72,2,2,2,2,2,1,112.6,8126.65
370,1,33,1,1,1,1,1,0,20.6,690.25
371,0,2,0,0,0,0,0,1,85.65,181.5
372,1,24,2,0,0,2,2,0,35.75,830.8
373,1,56,0,2,2,2,1,1,99.75,5608.4
374,0,37,0,2,0,0,0,1,96.1,3646.8
375,0,43,0,2,2,2,1,0,85.1,3662.25
376,0,1,0,0,0,0,0,0,25.35,25.35
377,0,25,0,0,2,2,0,1,104.95,2566.5
378,0,61,2,2,2,2,2,0,89.65,5308.7
379,0,17,0,0,2,2,1,0,86.75,1410.25
380,0,41,0,2,2,2,1,1,86.2,3339.05
381,0,1,0,2,0,0,0,0,50.65,50.65
382,1,72,2,2,2,2,2,1,64.8,4732.35
383,0,1,0,2,0,0,0,1,90.85,90.85
384,0,48,0,2,2,0,2,1,108.1,5067.45
385,0,11,1,1,1,1,0,0,19.95,214.75
386,0,55,0,2,2,0,0,1,85.45,4874.7
387,0,42,2,2,2,2,1,1,54.75,2348.45
388,0,44,0,0,2,0,0,1,90.4,4063.0
389,1,1,0,0,0,0,0,0,44.0,44.0
390,0,27,0,0,0,0,0,1,95.6,2595.25
391,0,27,0,2,2,2,0,1,84.8,2309.55
392,0,2,0,0,0,0,0,1,44.3,89.3
393,0,19,1,1,1,1,0,0,19.9,367.55
394,0,42,0,0,0,0,0,1,95.05,3944.5
395,0,66,2,2,2,2,2,1,90.05,5965.95
396,0,33,2,0,2,2,0,1,109.9,3694.7
397,0,34,0,2,0,0,0,1,73.95,2524.45
398,0,33,0,0,2,2,0,1,54.6,1803.7
399,1,23,1,1,1,1,1,0,20.05,415.1
400,0,32,1,1,1,1,1,0,19.75,624.15
401,0,11,1,1,1,1,1,0,20.05,237.7
402,1,69,0,0,2,0,0,1,99.45,7007.6
403,0,68,2,0,0,2,1,0,55.9,3848.8
404,0,20,1,1,1,1,2,1,19.7,419.4
405,0,72,1,1,1,1,2,1,19.8,1468.75
406,1,60,2,0,2,0,1,1,95.4,5812.0
407,1,32,0,2,0,0,0,1,93.95,2861.45
408,0,1,1,1,1,1,0,1,19.9,19.9
409,0,1,1,1,1,1,0,1,19.6,19.6
410,0,3,0,2,0,0,0,1,81.35,233.7
411,0,46,1,1,1,1,1,1,24.45,1066.15
412,0,29,0,0,0,0,0,1,74.95,2149.05
413,0,51,0,2,2,2,0,1,87.35,4473.0
414,0,48,0,0,0,0,0,1,70.65,3545.05
415,1,16,0,2,0,0,0,0,73.25,1195.75
416,0,70,0,2,2,2,2,1,98.7,6858.9
417,1,40,1,1,1,1,2,1,24.8,1024.7
418,1,22,0,2,0,0,0,0,83.3,1845.9
419,0,1,0,0,2,0,0,1,75.3,75.3
420,1,5,1,1,1,1,0,1,24.3,132.25
421,0,7,0,0,0,0,0,1,69.85,515.45
422,1,29,0,2,2,2,1,0,100.55,2830.45
